变量名,解释,默认值
GAME_TITLE,游戏名称,我的游戏
GAME_BACKGROUND,背景故事,后末日世界
PRIMARY_GENRE,主类型,动作
SECONDARY_GENRE,副类型,角色扮演
MECHANIC_LIST,玩法特色,战斗、探索
CORE_ART_STYLE,核心美术风格,卡通渲染风格
COLOR_TONE,色彩基调,鲜明
VISUAL_EFFECTS,视觉特效,动态光影
DYNAMIC_EXPRESSION,动态表现,粒子特效
RESOLUTION_WIDTH,分辨率宽度,1920
RESOLUTION_HEIGHT,分辨率高度,1080
SCREEN_ORIENTATION,屏幕方向,竖屏
CORE_THEME,游戏题材,生存
CULTURAL_BACKGROUND,文化背景,现代
KEYWORD_LIST,核心关键词,开放世界、僵尸
INFORMATION,游戏大纲,探索一座废墟城市
PLAYER_GOAL,玩家目标,寻找解药
PLAYER_INTERACTION,玩家交互方式,触屏操作
CORE_ACTIONS,核心操作动词,跳跃、攻击、冲刺
CORE_MECHANICS,核心玩法机制,实时战斗
FEEDBACK_SYSTEM,反馈机制,视觉与音效反馈
MODULE_A,模块A启用,是
CHARACTER_MODE,角色模式,单角色
CHARACTER_STATS,核心属性,生命值、攻击力、防御力
CHARACTER_GROWTH,成长路径,等级成长
GROWTH_CYCLE,养成周期,100级
MODULE_B,模块B启用,是
MAP_TYPE,地图类型,线性地图
CHAPTER_COUNT,章节总数,5
LEVEL_TYPES,关卡类型,战斗、解谜
RATING_CRITERIA,关卡评价维度,通关时间、精准度
CLEAR_REWARDS,通关奖励,金币、经验值
MODULE_C,模块C启用,是
COMBAT_TYPE,战斗类型,第三人称射击
COMBAT_MECHANICS,核心战斗机制,掩体系统
ENEMY_TIERS,敌人等级分类,普通、精英、Boss
ENEMY_AI_ARCH,AI架构方式,状态机
ENEMY_AI_BEHAVIORS,AI行为,巡逻、追击、攻击
BOSS_MECHANICS,Boss机制,阶段转换
BOSS_PHASE_COUNT,Boss阶段数,3
MODULE_D,模块D启用,是
CURRENCY_COUNT,货币种类数,2
CURRENCY_LIST,货币列表,金币、钻石
CURRENCY_GET,获取方式,任务奖励、商店购买
SHOP_TYPES,商店类型,道具商店、通行证商店
ITEM_CATEGORIES,商品分类,武器、消耗品
MODULE_E,模块E启用,否
MULTIPLAYER_MODE,多人模式,无
SOCIAL_FEATURES,社交功能,好友列表
CHAT_CHANNELS,通讯频道,世界频道、队伍频道
COMPETITIVE_SYSTEM,竞技系统,排行榜
MODULE_F,模块F启用,否
RHYTHM_JUDGE,节奏判定机制,完美、良好、失误
NOTE_TYPES,音符类型,单点音符、长按音符
COMBO_SYSTEM,连击系统,连击倍率
SIMULATION_CORE,模拟核心机制,资源管理
MANAGEMENT_GOAL,经营目标,利润最大化
BUILD_DIMENSION,建造维度,3D
BUILD_RULES,建造限制规则,资源消耗限制
CARD_MECHANICS,卡牌机制,卡组构筑
STRATEGY_DEPTH,策略深度,回合制策略
CUSTOM_FEATURE_NAME,自定义玩法名称,时间操控
CUSTOM_FEATURE_RULES,自定义玩法规则,时间回溯机制
QUALITY_OPTIONS,画质档位,低、中、高
CONTROL_OPTIONS,操作设置项,按钮布局
LANGUAGE_OPTIONS,语言支持,中文、英文、日文
AUDIO_TRACKS,音频分轨,音乐、音效、语音
DYNAMIC_AUDIO,动态音频,是
PROGRESS_MAX,最大进度点数,1000
PROGRESS_FORMULA,进度公式,经验 = 等级² × 10
HP_BASE,基础生命值,100
HP_MULTIPLIER,生命增长系数,10
SPECIAL_ATTR_BASE,专属属性基础值,50
SPECIAL_ATTR_MULTIPLIER,属性成长系数,5
PROGRESS_EXP_MULTIPLIER,经验倍率,1.5
ENTITY_MIN_LEVEL,最小等级,1
ENTITY_MAX_LEVEL,最大等级,50
ENTITY_HP_FORMULA,生命值公式,基础生命值 × 等级
NORMAL_ENTITY_COEF,普通实体系数,1.0
RARE_ENTITY_COEF,稀有实体系数,1.5
RARE_ENTITY_LEVEL_COEF,稀有等级系数,1.2
COEFFICIENT_ATTACK,攻击系数,0.8
COEFFICIENT_HEAL,治疗系数,1.2
FIXED_VALUE,固定数值加成,20
PHYSICAL_REDUCTION_RATE,物理减伤率,0.3
MAGIC_REDUCTION_RATE,法术减伤率,0.25
